,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2015/12,075180,새론오토모티브 ,36,자동차부품,2027,297,297,328,248,248,,2460,482,1978,1978,,96,346,-253,-38,112,234,1,14.67,12.22,13.24,10.65,24.38,1928.00,1291,6.58,10301,0.82,200,2.36,15.50,19200000
2016/12,075180,새론오토모티브 ,36,자동차부품,1975,280,280,314,226,226,,2637,496,2141,2141,,96,387,-223,-38,90,297,1,14.20,11.42,10.95,8.85,23.16,2126.97,1175,7.08,11153,0.75,190,2.28,16.17,19200000
2017/12,075180,새론오토모티브 ,36,자동차부품,1835,167,167,191,133,133,,2666,470,2196,2196,,96,87,88,-36,155,-68,1,9.10,7.23,6.12,5.00,21.39,2228.90,691,10.85,11439,0.66,150,2.00,21.71,19200000
2018/12,075180,새론오토모티브 ,36,자동차부품,1676,95,95,100,74,74,,2671,447,2224,2224,,96,319,-31,-29,357,-38,1,5.70,4.41,3.35,2.77,20.10,2270.70,385,15.30,11581,0.51,150,2.55,38.96,19200000
2019/12,075180,새론오토모티브 ,36,자동차부품,1527,-38,-38,-152,-83,-83,,2555,426,2130,2130,,96,162,-169,-35,163,-1,18,-2.50,-5.45,-3.82,-3.18,19.99,2149.76,-433,N/A,11092,0.46,140,2.77,-32.31,19200000
2015/12,263540,샘코 *,216,우주항공과국방,275,19,19,16,15,15,,311,154,156,156,,27,51,-63,28,56,-5,115,6.85,5.46,13.63,5.19,98.47,475.05,341,,2875,0.00,0,,0.00,5278290
2016/12,263540,샘코 *,216,우주항공과국방,288,24,24,22,20,20,,364,163,201,201,,28,-6,-21,12,19,-25,100,8.48,7.09,11.42,6.06,80.92,613.25,354,,3466,0.00,0,,0.00,5646700
2017/12,263540,샘코 *,216,우주항공과국방,301,32,32,7,7,7,,615,197,417,417,,40,-67,-129,227,139,-206,129,10.62,2.48,2.42,1.53,47.28,926.12,112,72.97,5259,1.55,0,0.00,0.00,7936681
2018/12,263540,샘코 *,216,우주항공과국방,312,-42,-42,-41,-21,-21,,705,309,395,395,,40,-41,-66,91,70,-110,220,-13.54,-6.62,-5.08,-3.13,78.23,874.23,-260,N/A,4982,0.84,0,0.00,0.00,7936681
2019/12,263540,샘코 *,216,우주항공과국방,257,-240,-240,-294,-320,-320,,479,389,90,90,,41,-5,-15,27,23,-28,238,-93.30,-124.50,-132.08,-54.17,432.53,101.94,-4013,N/A,1101,6.49,0,0.00,0.00,8164945
2015/12,007540,샘표 ,38,식품,4,-7,123,51,140,140,,2573,992,1581,1581,,44,-29,-205,219,77,-105,580,-191.60,3923.34,9.13,5.67,62.76,4164.23,3143,13.04,51101,0.80,300,0.73,6.64,4444000
2016/12,007540,샘표 ,38,식품,203,14,14,-5,16,13,3,1186,102,1084,1070,14,22,51,-120,7,83,-33,18,6.91,8.03,0.97,0.87,9.38,8584.53,387,94.92,71241,0.52,200,0.54,23.40,2159857
2017/12,007540,샘표 ,38,식품,2634,180,180,195,128,79,49,3116,948,2168,1415,753,29,328,-436,116,129,199,380,6.83,4.87,6.37,5.96,43.71,7651.37,2788,10.83,63803,0.47,200,0.66,5.60,2875800
2018/12,007540,샘표 ,38,식품,2759,197,197,271,212,129,84,3209,879,2330,1500,,29,276,-171,-89,177,99,306,7.13,7.70,8.82,6.72,37.71,8077.82,4470,7.48,67652,0.49,200,0.60,3.45,2875800
2019/12,007540,샘표 ,38,식품,2810,295,295,313,247,121,127,3386,822,2564,1615,,29,410,-239,-180,131,279,264,10.51,8.80,7.75,7.50,32.05,8436.99,4195,9.71,72820,0.56,200,0.49,3.68,2875800
2015/12,248170,샘표식품 ,38,식품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,248170,샘표식품 ,38,식품,1351,60,60,67,58,58,,1915,878,1037,1037,,23,126,-102,-66,94,33,513,4.47,4.26,,,84.71,4478.73,2505,12.21,22707,1.35,200,0.65,15.87,4568286
2017/12,248170,샘표식품 ,38,식품,2632,203,203,154,115,115,,1960,809,1151,1151,,23,335,-162,-119,122,213,402,7.70,4.37,10.51,5.93,70.34,4952.47,2517,13.86,25194,1.39,200,0.57,7.94,4568286
2018/12,248170,샘표식품 ,38,식품,2756,215,215,215,180,180,,2055,738,1317,1317,,23,264,-176,-80,176,88,333,7.79,6.53,14.58,8.96,56.05,5690.31,3938,7.07,28841,0.97,200,0.72,5.08,4568286
2019/12,248170,샘표식품 ,38,식품,2808,310,310,314,268,268,,2258,688,1570,1570,,23,425,-250,-181,131,294,292,11.04,9.55,18.57,12.43,43.80,6807.63,5870,5.79,34388,0.99,200,0.59,3.41,4568286
2015/12,294630,서남 *,205,에너지장비및서비스,39,-6,-6,-55,-55,-55,,191,104,87,87,,32,17,-37,21,2,15,68,-14.67,-139.72,-47.75,-25.84,119.46,173.63,-2244,,3578,0.00,0,,0.00,2000000
