,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2020/03,096040,이트론 *,197,전자장비와기기,64,1,1,-8,-8,-8,,963,455,509,509,,699,-11,-338,168,0,-11,396,0.79,-12.26,,,89.33,16.91,-2,,146,1.02,0,,0.00,349598748
2020/06,096040,이트론 *,197,전자장비와기기,73,2,2,-47,-47,-47,,955,476,479,479,,699,-21,5,,0,-21,400,2.27,-64.10,,,99.25,10.19,-13,,137,1.18,0,,0.00,349598748
2020/09,096040,이트론 *,197,전자장비와기기,77,1,1,-8,-8,-8,,963,515,448,448,,699,-30,8,9,6,-36,413,0.70,-9.81,,,114.85,9.11,-2,N/A,128,2.05,0,,0.00,349598748
2019/09,134060,이퓨쳐 *,201,교육서비스,27,3,3,4,4,4,,222,41,181,181,,24,-2,6,-1,0,-2,0,11.66,15.43,8.61,7.03,22.80,699.49,86,21.64,4016,1.68,,,0.00,4769250
2019/12,134060,이퓨쳐 *,201,교육서비스,32,2,2,1,5,5,,231,47,184,184,,24,12,-15,0,0,12,4,5.24,16.35,9.72,7.85,25.71,712.85,108,17.65,4087,1.55,,,,4769250
2020/03,134060,이퓨쳐 *,201,교육서비스,21,-1,-1,0,0,0,,212,32,181,181,,24,-11,5,-4,0,-11,3,-3.99,2.35,7.94,6.57,17.46,714.93,10,19.39,4092,1.39,,,0.00,4769250
2020/06,134060,이퓨쳐 *,201,교육서비스,23,2,2,2,1,1,,212,33,179,179,,24,13,0,-3,0,13,2,8.76,2.90,5.85,4.81,18.47,717.76,14,25.57,4095,1.36,,,0.00,4769250
2020/09,134060,이퓨쳐 *,201,교육서비스,25,1,1,1,1,1,,211,31,180,180,,24,5,8,-1,0,5,2,3.06,2.23,3.81,3.17,17.31,720.15,12,111.12,4108,3.90,,,0.00,4769250
2019/09,001840,이화공영 *,42,건설,317,3,3,4,3,3,,675,254,421,421,,99,-32,-2,23,,-32,33,0.89,1.05,-0.89,-0.50,60.31,287.95,17,N/A,2126,2.68,0,,0.00,19805760
2019/12,001840,이화공영 *,42,건설,431,10,10,9,7,7,,854,427,427,427,,99,14,1,-16,0,14,19,2.25,1.63,0.63,0.33,99.88,294.19,36,340.35,2157,2.14,10,,28.17,19805760
2020/03,001840,이화공영 *,42,건설,289,-9,-9,-10,-9,-9,,794,378,417,417,,99,42,-6,24,0,42,43,-3.17,-3.02,-1.16,-0.61,90.59,283.80,-44,N/A,2105,1.61,0,,0.00,19805760
2020/06,001840,이화공영 *,42,건설,445,14,14,16,10,10,,844,417,427,427,,99,47,0,-19,0,47,29,3.22,2.15,2.66,1.49,97.76,293.56,48,77.54,2154,2.04,0,,0.00,19805760
2020/09,001840,이화공영 *,42,건설,359,2,2,1,1,1,,811,383,427,427,,99,-30,0,-2,0,-30,28,0.43,0.20,2.03,1.16,89.61,294.50,4,126.36,2158,2.54,0,,0.00,19805760
2019/09,000760,이화산업 ,140,화학,152,-9,-9,-14,-12,-10,-2,2863,1052,1811,1046,,140,6,-2,0,2,5,887,-5.70,-8.13,-2.22,-0.90,58.09,647.67,-369,N/A,37371,0.41,,,0.00,2800000
2019/12,000760,이화산업 ,140,화학,125,-18,-18,-32,-31,-29,-2,2827,1048,1779,1017,,140,11,0,-5,0,11,882,-14.12,-24.43,-4.35,-1.67,58.93,626.83,-1022,N/A,36329,0.43,,,0.00,2800000
2020/03,000760,이화산업 ,140,화학,155,7,7,3,2,1,1,2911,1130,1781,1018,763,140,1,88,-2,,1,880,4.78,1.55,-3.57,-1.36,63.46,627.72,50,N/A,36374,0.33,,,0.00,2800000
2020/06,000760,이화산업 ,140,화학,110,1,1,-8,-8,-8,0,2872,1099,1774,1011,763,140,18,,-23,,18,856,1.26,-6.98,-4.40,-1.68,61.94,622.12,-283,N/A,36094,0.40,,,0.00,2800000
2020/09,000760,이화산업 ,140,화학,111,-21,-21,-27,-23,-18,-5,2845,1095,1750,993,758,140,-10,-9,-3,4,-15,854,-18.55,-20.86,-5.21,-2.07,62.56,609.25,-642,N/A,35450,0.40,,,0.00,2800000
2019/09,024810,이화전기 *,144,전기장비,141,-4,-4,0,0,0,,2005,156,1849,1849,,1204,100,-193,-1,0,100,84,-2.87,0.05,-2.01,-1.85,8.42,58.37,0,N/A,307,0.83,,,0.00,602032963
2019/12,024810,이화전기 *,144,전기장비,202,7,7,50,50,50,,2261,165,2096,2096,,1437,103,-416,248,0,103,83,3.47,24.68,0.04,0.03,7.87,51.19,7,1817.40,292,0.75,,,,718312032
2020/03,024810,이화전기 *,144,전기장비,39,-22,-22,-15,-15,-15,,2353,267,2086,2086,,1437,-35,-123,101,1,-36,163,-57.27,-37.21,-0.50,-0.45,12.78,50.18,-2,N/A,290,0.51,,,0.00,718312032
2020/06,024810,이화전기 *,144,전기장비,152,0,0,-114,-114,-114,,2526,623,1902,1902,,1437,104,-510,342,0,104,521,-0.01,-75.45,-4.23,-3.49,32.78,37.71,-16,N/A,265,0.58,,,0.00,718312032
2020/09,024810,이화전기 *,144,전기장비,86,-14,-14,-14,-14,-14,,2595,719,1875,1875,,1437,-111,-539,448,2,-113,508,-15.88,-15.93,,,38.35,35.84,-2,,261,0.57,,,0.00,718312032
2019/09,014990,인디에프 ,134,"섬유,의류,신발,호화품",411,-14,-14,-17,-17,-17,,1372,779,594,594,,295,-90,-2,24,3,-93,312,-3.39,-4.12,-6.96,-3.11,131.17,106.31,-29,N/A,1007,3.32,,,0.00,58932995
2019/12,014990,인디에프 ,134,"섬유,의류,신발,호화품",625,39,39,31,31,31,,1494,867,627,627,,295,101,-31,-54,23,78,474,6.17,5.02,-5.02,-2.25,138.41,117.52,53,N/A,1063,2.23,,,0.00,58932995
2020/03,014990,인디에프 ,134,"섬유,의류,신발,호화품",342,-44,-44,-48,-48,-48,,1445,867,578,578,,295,-5,-13,18,10,-14,498,-12.74,-13.95,-6.00,-2.57,149.99,100.98,-81,N/A,981,1.44,,,0.00,58932995
2020/06,014990,인디에프 ,134,"섬유,의류,신발,호화품",414,-11,-11,-14,-14,-14,,1470,906,564,564,,295,-52,-9,100,4,-57,614,-2.59,-3.36,-8.03,-3.42,160.80,96.09,-24,N/A,956,2.13,,,0.00,58932995
2020/09,014990,인디에프 ,134,"섬유,의류,신발,호화품",300,-72,-72,-76,-76,-76,,1521,1033,488,488,,295,13,9,-24,6,7,606,-23.89,-25.46,-19.74,-7.38,211.72,70.42,-130,N/A,828,2.16,,,0.00,58932995
2019/09,041830,인바디 *,211,건강관리장비와용품,276,78,78,83,50,50,0,1535,164,1371,1370,,68,70,-54,-6,4,67,43,28.07,17.97,16.44,14.65,11.93,2007.78,363,14.61,10300,2.19,0,,0.00,13683782
